Q0,query039bs0.sql
Q1,query039bs1.sql
Q2,query039bs3.sql
Q3,query039bs4.sql
Q4,query039bs5.sql
Q5,query039bs6.sql
Q6,query039bs7.sql
Q7,query039bs8.sql
Q8,query039bs9.sql
Q9,query039bs11.sql
Q10,query039bs14.sql
Q11,query039bs15.sql
Q12,query039bs17.sql
Q13,query039bs19.sql
Q14,query039bs20.sql
Q15,query084s0_spj.sql
Q16,query084s1_spj.sql
Q17,query084s3_spj.sql
Q18,query084s4_spj.sql
Q19,query084s5_spj.sql
Q20,query084s6_spj.sql
Q21,query084s7_spj.sql
Q22,query084s8_spj.sql
Q23,query084s9_spj.sql
Q24,query084s11_spj.sql
Q25,query084s14_spj.sql
Q26,query084s15_spj.sql
Q27,query084s17_spj.sql
Q28,query084s19_spj.sql
Q29,query084s20_spj.sql
Q30,query094s0.sql
Q31,query094s1.sql
Q32,query094s3.sql
Q33,query094s4.sql
Q34,query094s5.sql
Q35,query094s6.sql
Q36,query094s7.sql
Q37,query094s8.sql
Q38,query094s9.sql
Q39,query094s11.sql
Q40,query094s14.sql
Q41,query094s15.sql
Q42,query094s17.sql
Q43,query094s19.sql
Q44,query094s20.sql
