sample,qid,runtime
0,Q1,1.4310712814331055
0,Q2,1.142535924911499
0,Q3,2.0876028537750244
0,Q4,2.032360315322876
0,Q5,6.192965507507324
0,Q6,0.05881762504577637
0,Q7,0.11802387237548828
0,Q8,0.10430002212524414
0,Q9,1.5884101390838623
0,Q10,0.8370463848114014
0,Q11,1.4388892650604248
0,Q12,0.040769338607788086
0,Q13,0.014337301254272461
0,Q14,0.49106669425964355
0,Q15,0.16376709938049316
0,Q16,1.2276978492736816
0,Q17,6.511096954345703
0,Q18,1.8262794017791748
0,Q19,0.20389270782470703
0,Q20,0.025664806365966797
0,Q21,2.9925036430358887
0,Q22,4.202577829360962
0,Q23,3.0737624168395996
0,Q24,0.0906369686126709
0,Q25,4.840940952301025
0,Q26,1.2957704067230225
0,Q27,5.406754016876221
0,Q28,0.139723539352417
0,Q29,0.8576114177703857
0,Q30,0.5473635196685791
0,Q31,5.152013778686523
0,Q32,0.0670323371887207
0,Q34,0.13900017738342285
0,Q35,0.027982234954833984
0,Q36,0.008946895599365234
0,Q37,0.5150978565216064
0,Q38,0.47137880325317383
0,Q39,0.708348274230957
0,Q40,0.28046131134033203
0,Q41,0.17265558242797852
0,Q42,0.18029189109802246
0,Q43,0.8901841640472412
0,Q44,0.5343866348266602
0,Q45,0.23497748374938965
0,Q46,0.17706799507141113
0,Q47,0.2444913387298584
0,Q48,0.17148947715759277
0,Q49,0.7058041095733643
0,Q50,0.4664161205291748
0,total,62.13226652145386
1,Q1,1.107478380203247
1,Q2,0.9678375720977783
1,Q3,1.8220086097717285
1,Q4,1.882110834121704
1,Q5,6.030564785003662
1,Q6,0.08563375473022461
1,Q7,0.25116467475891113
1,Q8,0.09065461158752441
1,Q9,1.5949711799621582
1,Q10,1.5091116428375244
1,Q11,1.37630033493042
1,Q12,0.009366035461425781
1,Q13,0.01388096809387207
1,Q14,0.43018651008605957
1,Q15,0.0488429069519043
1,Q16,0.9393095970153809
1,Q17,2.6826906204223633
1,Q18,1.8670339584350586
1,Q19,0.03682589530944824
1,Q20,0.024384498596191406
1,Q21,0.7548685073852539
1,Q22,0.9855661392211914
1,Q23,1.4266209602355957
1,Q24,0.02212357521057129
1,Q25,4.2500011920928955
1,Q26,0.43419718742370605
1,Q27,5.3398847579956055
1,Q28,0.13901495933532715
1,Q29,0.7319161891937256
1,Q30,0.551995038986206
1,Q31,2.6050822734832764
1,Q32,0.0412144660949707
1,Q34,0.07491111755371094
1,Q35,0.010572433471679688
1,Q36,0.007552623748779297
1,Q37,0.4835226535797119
1,Q38,0.46791672706604004
1,Q39,0.6222352981567383
1,Q40,0.14973759651184082
1,Q41,0.13300156593322754
1,Q42,0.09562110900878906
1,Q43,0.7245631217956543
1,Q44,0.49313879013061523
1,Q45,0.18780994415283203
1,Q46,0.17664289474487305
1,Q47,0.182875394821167
1,Q48,0.1717543601989746
1,Q49,0.5197975635528564
1,Q50,0.46675634384155273
1,total,45.021252155303955
2,Q1,1.0740060806274414
2,Q2,0.949223518371582
2,Q3,1.8563978672027588
2,Q4,1.8586595058441162
2,Q5,5.46827244758606
2,Q6,0.029853343963623047
2,Q7,0.10575175285339355
2,Q8,0.09035515785217285
2,Q9,1.5438315868377686
2,Q10,0.8651947975158691
2,Q11,1.3212451934814453
2,Q12,0.008972644805908203
2,Q13,0.013652801513671875
2,Q14,0.42609524726867676
2,Q15,0.046753883361816406
2,Q16,0.994368314743042
2,Q17,2.514237403869629
2,Q18,1.845700979232788
2,Q19,0.03558516502380371
2,Q20,0.02453756332397461
2,Q21,0.7296583652496338
2,Q22,0.9486773014068604
2,Q23,1.4094936847686768
2,Q24,0.02104043960571289
2,Q25,4.182644605636597
2,Q26,0.43186235427856445
2,Q27,5.334323883056641
2,Q28,0.15038776397705078
2,Q29,0.7522921562194824
2,Q30,0.5589561462402344
2,Q31,2.7466657161712646
2,Q32,0.04092812538146973
2,Q34,0.07010889053344727
2,Q35,0.010348081588745117
2,Q36,0.007467985153198242
2,Q37,0.4919297695159912
2,Q38,0.47563624382019043
2,Q39,0.5763063430786133
2,Q40,0.14812111854553223
2,Q41,0.13290619850158691
2,Q42,0.09424877166748047
2,Q43,0.7099213600158691
2,Q44,0.4591550827026367
2,Q45,0.19365477561950684
2,Q46,0.18312335014343262
2,Q47,0.1879723072052002
2,Q48,0.17764735221862793
2,Q49,0.5126931667327881
2,Q50,0.46430468559265137
2,total,43.27517127990723
