step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,154.143385,8024.06,149.84510254859924,145.09898495674133,144.88249158859253
1,131.639638,8826.285,126.09164953231812,122.90800833702087,120.58832716941833
2,108.756012,10279.082,119.10892534255981,104.3624165058136,104.51110363006592
3,106.719705,16306.029,115.07241368293762,103.38996148109436,102.79025793075562
4,103.833007,19031.766,115.07241368293762,115.07241368293762,
5,98.423212,19652.963,115.07241368293762,115.07241368293762,
6,94.711359,21413.919,115.07241368293762,115.07241368293762,
7,92.457435,22563.819,115.07241368293762,115.07241368293762,
8,90.181862,33323.322,100.2508795261383,86.68087220191956,86.2071807384491
9,87.894971,39557.77,100.2508795261383,85.96397852897644,86.88164925575256
10,85.457961,75119.228,96.7154598236084,82.52109909057617,82.36025834083557
11,82.661507,82868.603,91.88508915901184,78.691477060318,80.65934324264526
12,81.299087,95606.935,91.36954236030579,76.71183705329895,76.72612833976746
13,81.299087,-1.0,91.36954236030579,,
