step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,111.653667,4198.237,112.39008712768555,107.26399374008179,106.38196539878845
1,107.855803,4849.892,112.39008712768555,112.39008712768555,
2,95.379214,5494.066,93.51625418663025,87.91669583320618,89.81743931770325
3,93.229187,8081.279,93.51625418663025,88.09194803237915,89.63765144348145
4,89.566946,10467.071,93.51625418663025,84.73458075523376,85.25467777252197
5,84.326314,11542.8,86.25865292549133,77.95574378967285,79.16527676582336
6,72.198463,15706.199,76.07237315177917,69.22134637832642,69.37328934669495
7,68.073824,19455.672,75.39351153373718,66.3008680343628,66.64660406112671
8,65.488531,22544.844,72.04798984527588,61.9191997051239,62.11891317367554
9,60.745002,27582.427,66.63944363594055,57.503766775131226,57.09888482093811
10,57.737433,31014.672,62.991328954696655,54.20776128768921,54.57008624076843
11,55.436716,31800.741,62.38626480102539,52.76204991340637,53.23411726951599
12,53.002955,37061.768,58.91519236564636,50.710567235946655,50.823774337768555
13,50.754223,54602.718,58.36184763908386,48.80266308784485,48.31608462333679
14,48.723705,77767.153,56.740275382995605,46.53379011154175,46.16312885284424
15,47.850236,107790.266,53.98819303512573,45.39191222190857,45.50280570983887
16,47.850236,-1.0,53.98819303512573,,
