step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2
0,"CREATE INDEX IDX_store_sales_2627 ON STORE_SALES (SS_SOLD_DATE_SK,SS_ITEM_SK,SS_CUSTOMER_SK,SS_CDEMO_SK,SS_ADDR_SK,SS_STORE_SK,SS_WHOLESALE_COST);","work_mem = 2097152,max_worker_processes = 10,temp_buffers = 1000,max_parallel_workers_per_gather = 0,shared_buffers = '8GB',maintenance_work_mem = 262144",28.0,300.0,,
1,"CREATE INDEX IDX_store_sales_2627 ON STORE_SALES (SS_SOLD_DATE_SK,SS_ITEM_SK,SS_CUSTOMER_SK,SS_CDEMO_SK,SS_ADDR_SK,SS_STORE_SK,SS_WHOLESALE_COST);","seq_page_cost = 1000,max_parallel_workers = 10,effective_io_concurrency = 0,random_page_cost = 0,max_parallel_workers_per_gather = 0,effective_cache_size = 262144",29.0,300.0,,
2,"CREATE INDEX IDX_store_sales_1108 ON STORE_SALES (SS_SOLD_DATE_SK,SS_CDEMO_SK,SS_HDEMO_SK,SS_ADDR_SK,SS_STORE_SK);,CREATE INDEX IDX_store_sales_719 ON STORE_SALES (SS_TICKET_NUMBER,SS_ADDR_SK,SS_STORE_SK,SS_PROMO_SK);,CREATE INDEX IDX_store_sales_8 ON STORE_SALES (SS_ADDR_SK);,CREATE INDEX IDX_promotion_5 ON PROMOTION (P_PROMO_SK,P_CHANNEL_TV);","effective_cache_size = 262144,hash_mem_multiplier = 1,enable_parallel_hash = off,effective_io_concurrency = 10,max_parallel_workers_per_gather = 10,enable_indexscan = off",413.0,300.0,,
3,"CREATE INDEX IDX_store_sales_1108 ON STORE_SALES (SS_SOLD_DATE_SK,SS_CDEMO_SK,SS_HDEMO_SK,SS_ADDR_SK,SS_STORE_SK);,CREATE INDEX IDX_store_sales_719 ON STORE_SALES (SS_TICKET_NUMBER,SS_ADDR_SK,SS_STORE_SK,SS_PROMO_SK);,CREATE INDEX IDX_store_sales_8 ON STORE_SALES (SS_ADDR_SK);,CREATE INDEX IDX_promotion_5 ON PROMOTION (P_PROMO_SK,P_CHANNEL_TV);","enable_hashagg = off,effective_cache_size = 65536,enable_nestloop = off,temp_buffers = 100000,work_mem = 64,effective_io_concurrency = 10",439.0,300.0,,
4,"CREATE INDEX IDX_store_sales_933 ON STORE_SALES (SS_SOLD_DATE_SK,SS_CUSTOMER_SK,SS_TICKET_NUMBER,SS_HDEMO_SK,SS_PROMO_SK);,CREATE INDEX IDX_web_sales_31 ON WEB_SALES (WS_SOLD_DATE_SK,WS_ITEM_SK,WS_SALES_PRICE);","random_page_cost = 1000,enable_hashjoin = off,enable_nestloop = off,seq_page_cost = 100,max_parallel_workers = 0,effective_io_concurrency = 0",836.0,300.0,,
5,"CREATE INDEX IDX_store_sales_933 ON STORE_SALES (SS_SOLD_DATE_SK,SS_CUSTOMER_SK,SS_TICKET_NUMBER,SS_HDEMO_SK,SS_PROMO_SK);,CREATE INDEX IDX_web_sales_31 ON WEB_SALES (WS_SOLD_DATE_SK,WS_ITEM_SK,WS_SALES_PRICE);","max_worker_processes = 10,shared_buffers = '4GB',enable_hashjoin = off,enable_memoize = off,max_parallel_workers = 20,hash_mem_multiplier = 1000",848.0,300.0,,
6,"CREATE INDEX IDX_store_sales_933 ON STORE_SALES (SS_SOLD_DATE_SK,SS_CUSTOMER_SK,SS_TICKET_NUMBER,SS_HDEMO_SK,SS_PROMO_SK);,CREATE INDEX IDX_web_sales_31 ON WEB_SALES (WS_SOLD_DATE_SK,WS_ITEM_SK,WS_SALES_PRICE);","max_parallel_workers_per_gather = 0,random_page_cost = 100000,enable_tidscan = off,seq_page_cost = 1000,enable_mergejoin = off,temp_buffers = 100",872.0,300.0,,
7,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',919.0,300.0,,
8,"CREATE INDEX IDX_store_sales_3450 ON STORE_SALES (SS_SOLD_DATE_SK,SS_ITEM_SK,SS_TICKET_NUMBER,SS_LIST_PRICE,SS_CDEMO_SK,SS_HDEMO_SK,SS_STORE_SK,SS_PROMO_SK);,CREATE INDEX IDX_store_sales_2403 ON STORE_SALES (SS_CUSTOMER_SK,SS_LIST_PRICE,SS_ADDR_SK,SS_STORE_SK,SS_PROMO_SK,SS_WHOLESALE_COST);,CREATE INDEX IDX_store_sales_0 ON STORE_SALES (SS_SOLD_DATE_SK);,CREATE INDEX IDX_store_sales_154 ON STORE_SALES (SS_ITEM_SK,SS_LIST_PRICE,SS_STORE_SK);","random_page_cost = 10000,effective_cache_size = 262144,max_parallel_workers_per_gather = 4,max_parallel_workers = 0,effective_io_concurrency = 100,enable_parallel_hash = off",1513.0,300.0,,
9,"CREATE INDEX IDX_store_sales_3450 ON STORE_SALES (SS_SOLD_DATE_SK,SS_ITEM_SK,SS_TICKET_NUMBER,SS_LIST_PRICE,SS_CDEMO_SK,SS_HDEMO_SK,SS_STORE_SK,SS_PROMO_SK);,CREATE INDEX IDX_store_sales_2403 ON STORE_SALES (SS_CUSTOMER_SK,SS_LIST_PRICE,SS_ADDR_SK,SS_STORE_SK,SS_PROMO_SK,SS_WHOLESALE_COST);,CREATE INDEX IDX_store_sales_0 ON STORE_SALES (SS_SOLD_DATE_SK);,CREATE INDEX IDX_store_sales_154 ON STORE_SALES (SS_ITEM_SK,SS_LIST_PRICE,SS_STORE_SK);","max_parallel_workers = 10,seq_page_cost = 10000,maintenance_work_mem = 262144,enable_indexscan = off,effective_io_concurrency = 1000,max_parallel_workers_per_gather = 20",1685.0,300.0,,
