step,orig_time_cost,time_since_start,runtime0
0,181.0970001220703,5290.298,181.0970001220703
1,158.868643283844,14778.115,158.868643283844
2,110.5908534526825,21631.9,110.5908534526825
3,113.18035650253296,43673.595,113.18035650253296
4,217.57908153533936,48948.36,217.57908153533936
5,185.35367107391357,59529.9,185.35367107391357
6,100.02505898475647,64756.89,100.02505898475647
7,139.9285445213318,74540.623,139.9285445213318
8,114.99154019355774,89585.982,114.99154019355774
9,128.70089721679688,93934.229,128.70089721679688
10,111.19437074661255,98109.235,111.19437074661255
