step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,106.963214,2196.65,108.82475519180298,101.11767148971558,102.25217366218567
1,90.830453,3544.911,93.28935122489929,86.24115037918091,85.49654865264893
2,84.154128,3917.013,80.80922055244446,74.15183091163635,75.34239292144775
3,80.571116,5014.331,84.82372093200684,77.6414647102356,79.58313131332397
4,68.595668,6106.036,75.57843327522278,66.2677059173584,65.85087299346924
5,64.918193,7406.513,70.90503573417664,62.923431158065796,62.62361526489258
6,60.907731,8068.451,66.36042666435242,57.44466423988342,56.368419885635376
7,55.92674,8332.122,62.68009924888611,52.956385135650635,52.345710039138794
8,51.888392,9845.939,59.89923405647278,49.528019428253174,49.62155723571777
9,49.593671,13550.202,64.76381540298462,46.6303346157074,46.27013039588928
10,47.584511,18642.247,59.45341181755066,45.81047868728638,45.95360255241394
11,45.460326,18868.811,54.82612228393555,42.69245433807373,42.24538612365723
12,42.386558,23422.761,51.006959438323975,40.708964586257935,40.231764793395996
13,39.012307,33560.518,46.655837535858154,37.811447858810425,37.096755266189575
14,35.888148,73085.394,45.07009530067444,34.039172649383545,33.796382904052734
