step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,118.61026,2386.879,125.2676100730896,113.37305021286011,112.34057021141052
1,97.386484,3824.007,100.93122148513794,91.98186349868774,91.92103505134583
2,90.491571,5222.601,92.11157655715942,83.57918334007263,83.03593444824219
3,86.217341,6599.097,89.2273063659668,85.75753402709961,86.03868532180786
4,80.840855,8167.75,84.11561870574951,76.65847206115723,76.37727403640747
5,75.628698,17539.225,83.60540866851807,75.12388753890991,73.12228608131409
6,72.989415,21465.05,75.88977384567261,68.91489505767822,69.36625289916992
7,64.604681,24728.066,71.2442102432251,60.327659606933594,61.705002784729004
8,62.069129,33623.635,69.62886834144592,59.42920970916748,59.01099705696106
9,58.738851,50176.441,63.35501432418823,55.57342457771301,55.14099311828613
10,56.234893,53321.579,62.26632809638977,54.63373780250549,54.22832369804382
11,52.805525,102676.485,62.26632809638977,51.96874952316284,51.09040427207947
12,51.684293,105676.587,61.69564366340637,49.344624280929565,49.055726289749146
13,51.435266,106680.32,61.54036593437195,49.138431549072266,49.158424377441406
14,51.435266,-1.0,61.54036593437195,,
