step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,135.69081,1143.662,136.1895489692688,127.59974312782288,127.54897475242615
1,115.243572,2102.109,118.67061018943787,108.7682671546936,108.09616255760193
2,104.419925,3541.551,106.60398507118225,100.84914517402649,100.31410813331604
3,101.272801,5020.84,103.05645728111267,96.78121209144592,96.66474556922913
4,97.953653,6447.764,100.96534848213196,93.08214473724365,92.55359315872192
5,76.995557,11980.069,81.39253354072571,73.18426394462585,72.9975414276123
6,73.389618,24469.449,75.22834157943726,68.63600277900696,69.6711778640747
7,70.07248,29971.774,75.22834157943726,72.17368674278259,68.6434690952301
8,68.065033,36455.418,75.22834157943726,65.8935067653656,66.29061794281006
9,65.015972,39058.445,71.08673143386841,62.962843894958496,62.463958740234375
10,62.04678,46902.784,68.79617667198181,59.467840909957886,58.781004428863525
11,58.10942,58558.31,64.72910571098328,55.159684896469116,55.32578182220459
12,55.038782,68660.785,60.94619083404541,51.797112703323364,51.83706760406494
13,52.985757,80181.969,59.79303312301636,49.620707511901855,51.70876336097717
14,52.560252,101266.323,55.41401672363281,49.438249588012695,49.4818389415741
