step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,207.899353,5232.022,223.91399335861206,222.90014028549194,222.50124835968018
1,201.314169,5938.211,205.93257522583008,215.94196844100952,217.78663802146912
2,191.350194,12954.12,203.6094617843628,203.90814113616943,204.12777042388916
3,187.134073,13621.762,197.00643634796143,195.20275783538818,197.815288066864
4,183.052441,14960.33,194.0700261592865,197.815288066864,
5,178.135971,15621.036,192.45701026916504,196.66028213500977,191.98970556259155
6,173.906893,21445.135,190.0927619934082,191.03903245925903,196.66028213500977
7,169.577648,30584.251,189.1820774078369,189.82609748840332,190.39566493034363
8,166.312774,36658.43,186.99106669425964,186.9937310218811,190.39566493034363
9,163.520022,45413.175,189.191392660141,184.4349296092987,186.0471568107605
10,159.85608,47887.005,182.0540051460266,181.6099021434784,180.61916089057922
11,157.139799,56575.058,173.7389805316925,174.4235532283783,175.12500643730164
12,153.334043,62113.191,175.12500643730164,174.58625197410583,172.9388244152069
13,151.140917,78259.661,175.12500643730164,174.23408150672913,174.42779183387756
14,149.081378,83631.458,174.85277318954468,175.12500643730164,
15,147.020787,92249.092,175.12500643730164,175.12500643730164,
16,144.479501,105591.017,164.95313906669617,165.14884424209595,166.63262939453125
17,143.77996,106163.137,167.00754499435425,166.1570520401001,166.63262939453125
18,143.076635,106729.105,166.63262939453125,164.65752339363098,166.23065400123596
19,142.333941,107293.607,166.63262939453125,166.63262939453125,
20,142.333941,-1.0,166.63262939453125,,
