step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2
0,"CREATE INDEX IDX_title_7 ON TITLE (ID,TITLE);","work_mem = 2097152,random_page_cost = 10000,enable_seqscan = off,effective_cache_size = 65536,shared_buffers = '8GB',maintenance_work_mem = 2097152",510.0,400.0,,
1,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',1031.0,400.0,,
2,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',2075.0,400.0,,
3,"CREATE INDEX IDX_title_7 ON TITLE (ID,TITLE);,CREATE INDEX IDX_cast_info_9 ON CAST_INFO (MOVIE_ID,NOTE);","temp_buffers = 1000,effective_cache_size = 262144,seq_page_cost = 10000,max_parallel_workers = 20,shared_buffers = '8GB',force_parallel_mode = on",3075.0,400.0,,
4,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',3075.0,400.0,,
5,"CREATE INDEX IDX_title_7 ON TITLE (ID,TITLE);,CREATE INDEX IDX_cast_info_9 ON CAST_INFO (MOVIE_ID,NOTE);","enable_tidscan = off,hash_mem_multiplier = 100,enable_parallel_hash = off,maintenance_work_mem = 32768,max_parallel_workers_per_gather = 20,enable_material = off",3500.0,400.0,,
6,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',4370.0,400.0,,
7,"CREATE INDEX IDX_complete_cast_3 ON COMPLETE_CAST (MOVIE_ID,SUBJECT_ID);,CREATE INDEX IDX_title_7 ON TITLE (ID,TITLE);,CREATE INDEX IDX_cast_info_9 ON CAST_INFO (MOVIE_ID,NOTE);","max_parallel_workers_per_gather = 20,effective_io_concurrency = 1000,temp_buffers = 1000,effective_cache_size = 65536,hash_mem_multiplier = 100,max_parallel_workers = 10",5163.0,207.90292358398438,194.2412965297699,195.9369695186615
8,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',5523.0,400.0,,
9,"CREATE INDEX IDX_complete_cast_3 ON COMPLETE_CAST (MOVIE_ID,SUBJECT_ID);,CREATE INDEX IDX_title_7 ON TITLE (ID,TITLE);,CREATE INDEX IDX_cast_info_9 ON CAST_INFO (MOVIE_ID,NOTE);","max_parallel_workers_per_gather = 10,hash_mem_multiplier = 1,enable_material = off,enable_tidscan = off,work_mem = 2097152,enable_mergejoin = off",5867.0,207.82207465171814,207.90292358398438,
10,"CREATE INDEX IDX_complete_cast_3 ON COMPLETE_CAST (MOVIE_ID,SUBJECT_ID);,CREATE INDEX IDX_title_7 ON TITLE (ID,TITLE);,CREATE INDEX IDX_cast_info_9 ON CAST_INFO (MOVIE_ID,NOTE);","effective_cache_size = 262144,hash_mem_multiplier = 1000,random_page_cost = 10000,enable_hashagg = off,maintenance_work_mem = 262144,enable_nestloop = off",6177.0,207.90292358398438,207.90292358398438,
