step,idxlist,knobs,time_since_start,runtime0,runtime1
0,CREATE INDEX IDX_movie_companies_2 ON MOVIE_COMPANIES (COMPANY_TYPE_ID);,"temp_buffers = 10000,enable_memoize = off,hash_mem_multiplier = 100,work_mem = 32768,random_page_cost = 100,max_worker_processes = 0",309.0,400.0,
1,CREATE INDEX IDX_movie_companies_2 ON MOVIE_COMPANIES (COMPANY_TYPE_ID);,"work_mem = 262144,enable_hashagg = off,max_parallel_workers = 10,random_page_cost = 1000,enable_parallel_hash = off,enable_memoize = off",616.0,400.0,
2,CREATE INDEX IDX_movie_companies_2 ON MOVIE_COMPANIES (COMPANY_TYPE_ID);,"random_page_cost = 100000,enable_memoize = off,seq_page_cost = 1000,enable_bitmapscan = off,max_parallel_workers_per_gather = 4,effective_io_concurrency = 100",764.0,400.0,
3,"CREATE INDEX IDX_movie_keyword_1 ON MOVIE_KEYWORD (KEYWORD_ID);,CREATE INDEX IDX_movie_companies_2 ON MOVIE_COMPANIES (COMPANY_TYPE_ID);","shared_buffers = '1GB',enable_bitmapscan = off,work_mem = 1024,seq_page_cost = 1000,max_worker_processes = 4,force_parallel_mode = on",1030.0,400.0,
4,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',1030.0,400.0,
5,"CREATE INDEX IDX_movie_keyword_1 ON MOVIE_KEYWORD (KEYWORD_ID);,CREATE INDEX IDX_movie_companies_2 ON MOVIE_COMPANIES (COMPANY_TYPE_ID);","enable_mergejoin = off,work_mem = 64,enable_bitmapscan = off,temp_buffers = 100,shared_buffers = '1GB',maintenance_work_mem = 1024",1831.0,494.55509185791016,444.889390707016
6,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',2089.0,400.0,
7,"CREATE INDEX IDX_movie_keyword_1 ON MOVIE_KEYWORD (KEYWORD_ID);,CREATE INDEX IDX_movie_companies_2 ON MOVIE_COMPANIES (COMPANY_TYPE_ID);,CREATE INDEX IDX_cast_info_20 ON CAST_INFO (PERSON_ID,PERSON_ROLE_ID,ROLE_ID);","random_page_cost = 10000,hash_mem_multiplier = 1000,seq_page_cost = 100,force_parallel_mode = on,shared_buffers = '32GB',maintenance_work_mem = 1024",2396.0,400.0,
8,"CREATE INDEX IDX_movie_keyword_1 ON MOVIE_KEYWORD (KEYWORD_ID);,CREATE INDEX IDX_movie_companies_2 ON MOVIE_COMPANIES (COMPANY_TYPE_ID);,CREATE INDEX IDX_cast_info_20 ON CAST_INFO (PERSON_ID,PERSON_ROLE_ID,ROLE_ID);","max_worker_processes = 0,enable_material = off,work_mem = 64,effective_io_concurrency = 1000,max_parallel_workers_per_gather = 20,enable_memoize = off",2660.0,400.0,
9,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',3202.0,400.0,
10,"CREATE INDEX IDX_movie_keyword_1 ON MOVIE_KEYWORD (KEYWORD_ID);,CREATE INDEX IDX_movie_companies_2 ON MOVIE_COMPANIES (COMPANY_TYPE_ID);,CREATE INDEX IDX_movie_companies_11 ON MOVIE_COMPANIES (MOVIE_ID,COMPANY_ID,NOTE);,CREATE INDEX IDX_cast_info_20 ON CAST_INFO (PERSON_ID,PERSON_ROLE_ID,ROLE_ID);","work_mem = 1024,maintenance_work_mem = 1024,enable_tidscan = off,random_page_cost = 100000,max_parallel_workers_per_gather = 10,seq_page_cost = 1000",3755.0,400.0,
11,"CREATE INDEX IDX_movie_keyword_1 ON MOVIE_KEYWORD (KEYWORD_ID);,CREATE INDEX IDX_movie_companies_2 ON MOVIE_COMPANIES (COMPANY_TYPE_ID);,CREATE INDEX IDX_movie_companies_11 ON MOVIE_COMPANIES (MOVIE_ID,COMPANY_ID,NOTE);,CREATE INDEX IDX_cast_info_20 ON CAST_INFO (PERSON_ID,PERSON_ROLE_ID,ROLE_ID);","shared_buffers = '8GB',temp_buffers = 100000,random_page_cost = 0,enable_hashagg = off,effective_cache_size = 65536,enable_nestloop = off",4000.0,400.0,
12,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',4267.0,400.0,
13,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',5334.0,400.0,
14,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',6578.0,400.0,
15,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',7844.0,400.0,
16,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',9076.0,400.0,
17,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',10327.0,400.0,
18,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',11555.0,400.0,
19,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',12629.0,400.0,
20,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',13826.0,400.0,
21,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',14944.0,400.0,
22,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',16005.0,400.0,
23,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',17085.0,400.0,
24,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',18135.0,400.0,
25,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',19228.0,400.0,
26,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',20337.0,400.0,
27,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',21556.0,400.0,
28,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',22769.0,400.0,
29,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',23964.0,400.0,
30,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',25182.0,400.0,
31,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',26342.0,400.0,
32,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',27518.0,400.0,
33,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',28457.0,400.0,
34,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',29391.0,400.0,
35,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',30329.0,400.0,
36,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',31286.0,400.0,
37,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',32254.0,400.0,
38,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',33211.0,400.0,
39,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',34155.0,400.0,
40,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',34648.0,400.0,
41,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',35123.0,400.0,
42,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',36041.0,400.0,
43,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',37222.0,400.0,
44,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',38264.0,400.0,
45,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',39220.0,400.0,
46,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',40158.0,400.0,
47,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',41110.0,400.0,
48,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',42251.0,400.0,
49,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',43491.0,400.0,
50,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',44594.0,400.0,
51,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',45587.0,400.0,
52,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',46545.0,400.0,
53,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',47533.0,400.0,
54,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',48457.0,400.0,
55,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',49158.0,400.0,
56,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',49434.0,400.0,
57,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',50603.0,400.0,
58,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',51539.0,400.0,
59,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',52478.0,400.0,
60,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',53408.0,400.0,
61,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',54674.0,400.0,
62,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',55959.0,400.0,
63,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',57255.0,400.0,
64,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',58195.0,400.0,
65,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',59273.0,400.0,
66,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',60249.0,400.0,
67,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',61429.0,400.0,
68,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',62605.0,400.0,
69,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',63643.0,400.0,
70,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',64723.0,400.0,
71,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',65681.0,400.0,
72,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',66670.0,400.0,
73,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',67574.0,400.0,
74,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',68877.0,400.0,
75,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',69868.0,400.0,
76,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',70964.0,400.0,
77,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',72101.0,400.0,
78,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',73183.0,400.0,
79,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',74135.0,400.0,
80,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',75095.0,400.0,
81,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',76153.0,400.0,
82,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',76934.0,400.0,
83,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',77399.0,400.0,
84,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',78323.0,400.0,
85,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',79238.0,400.0,
86,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',80622.0,400.0,
87,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',81543.0,400.0,
88,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',82726.0,400.0,
89,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',83963.0,400.0,
90,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',85242.0,400.0,
91,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',86209.0,400.0,
92,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',87148.0,400.0,
93,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',88254.0,400.0,
94,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',89262.0,400.0,
95,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',90191.0,400.0,
96,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',91120.0,400.0,
97,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',92456.0,400.0,
98,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',93767.0,400.0,
99,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',95132.0,400.0,
100,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',96472.0,400.0,
101,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',97589.0,400.0,
