step,idxlist,knobs,time_since_start,runtime0
0,CREATE INDEX IDX_movie_keyword_1 ON MOVIE_KEYWORD (KEYWORD_ID);,"shared_buffers = '1GB',maintenance_work_mem = 32768,work_mem = 64,enable_mergejoin = off,max_parallel_workers = 0,enable_memoize = off",235.0,400.0
1,CREATE INDEX IDX_movie_keyword_1 ON MOVIE_KEYWORD (KEYWORD_ID);,"effective_io_concurrency = 10,shared_buffers = '4GB',effective_cache_size = 262144,enable_mergejoin = off,max_parallel_workers_per_gather = 10,temp_buffers = 100000",693.0,400.0
2,CREATE INDEX IDX_movie_keyword_1 ON MOVIE_KEYWORD (KEYWORD_ID);,"work_mem = 1024,effective_cache_size = 4194304,max_worker_processes = 4,enable_parallel_hash = off,temp_buffers = 1000,seq_page_cost = 100",913.0,400.0
3,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',913.0,400.0
4,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',1930.0,400.0
5,"CREATE INDEX IDX_movie_keyword_1 ON MOVIE_KEYWORD (KEYWORD_ID);,CREATE INDEX IDX_person_info_11 ON PERSON_INFO (PERSON_ID,INFO_TYPE_ID,NOTE);,CREATE INDEX IDX_name_9 ON NAME (GENDER,NAME_PCODE_CF);","random_page_cost = 100000,temp_buffers = 100,enable_parallel_hash = off,hash_mem_multiplier = 1,work_mem = 64,enable_material = off",2725.0,400.0
6,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',2995.0,400.0
7,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',4157.0,400.0
8,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',5162.0,400.0
9,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',6397.0,400.0
10,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',7302.0,400.0
11,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',8226.0,400.0
12,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',9163.0,400.0
13,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',10065.0,400.0
14,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',11361.0,400.0
15,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',12551.0,400.0
16,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',13624.0,400.0
17,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',14870.0,400.0
18,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',16188.0,400.0
19,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',17138.0,400.0
20,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',18070.0,400.0
21,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',19026.0,400.0
22,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',19985.0,400.0
23,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',20933.0,400.0
24,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',21865.0,400.0
25,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',22844.0,400.0
26,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',24091.0,400.0
27,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',25264.0,400.0
