step,orig_time_cost,time_since_start,runtime0,runtime1,runtime2
0,311.73341035842896,3737.47,295.4501278400421,292.71351170539856,290.88620042800903
1,231.46954774856567,10446.526,254.59767150878906,262.8874695301056,260.12517833709717
2,215.45054817199707,14430.835,253.54617738723755,252.53765487670898,256.72407960891724
3,208.2712962627411,21617.686,254.93361401557922,256.72407960891724,
4,165.8526473045349,24512.923,169.15730118751526,169.64832711219788,168.25329160690308
5,163.45048427581787,30565.848,159.17291736602783,153.9062991142273,151.6421413421631
6,149.64464712142944,33325.851,159.17291736602783,153.683607339859,153.38731932640076
7,143.8377227783203,42056.391,133.42999029159546,132.4031126499176,132.1782374382019
8,132.20103430747986,48419.646,133.42999029159546,133.42999029159546,
9,128.74170112609863,54310.458,133.42999029159546,133.42999029159546,
10,123.28430032730103,57454.269,133.42999029159546,133.42999029159546,
