step,orig_time_cost,time_since_start,runtime0
0,248.52021384239197,13634.878,248.52021384239197
1,299.65604877471924,13938.054,299.65604877471924
2,259.94815826416016,23008.339,259.94815826416016
3,283.7425146102905,29504.854,283.7425146102905
4,233.74164271354675,32093.458,233.74164271354675
5,291.23225259780884,33194.64,291.23225259780884
6,288.8970286846161,43206.645,288.8970286846161
7,276.29971623420715,50523.283,276.29971623420715
8,252.8324999809265,67838.045,252.8324999809265
9,243.93918132781982,76723.688,243.93918132781982
10,238.16106247901917,81054.016,238.16106247901917
11,227.94875836372375,99699.187,227.94875836372375
