step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,216.174663,1228.824,214.0005021095276,198.79264307022095,214.7002832889557
1,138.554412,2611.716,132.37692022323608,129.65669059753418,130.82047533988953
2,132.827876,3911.367,127.04759120941162,124.17339062690735,127.61665034294128
3,127.001376,4423.246,122.96061587333679,123.84426641464233,123.37576460838318
4,108.346217,5974.378,114.16631650924683,105.90006017684937,104.56078386306763
5,93.891782,6385.318,94.60929942131042,84.52272605895996,89.43863201141357
6,82.761615,8156.147,84.61830163002014,79.73045992851257,80.22793173789978
7,78.377418,9093.085,78.63679766654968,75.41855025291443,76.06800580024719
8,72.402826,12538.215,76.74947571754456,69.88502907752991,69.84561705589294
9,69.925765,13553.933,72.51590251922607,66.4501850605011,67.00211143493652
10,64.706543,14845.268,68.44744181632996,63.228670597076416,63.10585045814514
11,62.098505,15124.514,64.41668844223022,60.049227476119995,59.777875900268555
12,58.784333,17203.854,59.72656869888306,54.999308586120605,56.180663108825684
13,54.704888,18696.623,59.0417263507843,53.41105031967163,53.36047053337097
14,51.559633,20861.041,55.71767807006836,49.28385281562805,49.86604309082031
15,48.970862,23586.164,52.86099433898926,48.31073498725891,48.223865032196045
16,45.574403,37343.142,49.15534281730652,43.862809896469116,43.94489407539368
17,41.833215,42594.325,45.73028635978699,40.96332931518555,40.951027631759644
18,39.331608,59631.171,44.57949423789978,38.70137166976929,38.94906234741211
19,36.30105,98649.697,42.0285382270813,36.420531272888184,36.340487480163574
