step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,195.115189,1041.251,185.64235639572144,183.4480721950531,181.46861958503723
1,134.772018,2518.045,127.83723831176758,123.76489114761353,128.0827431678772
2,117.202471,3916.102,117.90665316581726,109.93681216239929,109.94701862335205
3,108.34942,4908.025,108.2621648311615,101.74203634262085,101.37293291091919
4,103.887641,5342.065,103.04495692253113,93.71093821525574,93.04788732528687
5,97.047454,8966.644,96.1035041809082,89.80288577079773,93.30173802375793
6,91.560066,9344.658,91.50806879997253,85.047607421875,84.94054460525513
7,87.946664,11023.018,87.80508518218994,83.1888120174408,83.11940336227417
8,82.385124,11405.416,83.23278427124023,77.33750247955322,77.4001235961914
9,71.077779,12919.533,73.03057956695557,67.44243097305298,67.2751636505127
10,67.874716,17740.077,72.62575364112854,65.40985035896301,65.81532406806946
11,61.278018,19494.518,65.5770652294159,58.26570963859558,61.146098136901855
12,58.929965,24902.797,63.29453992843628,56.61653733253479,56.59125351905823
13,52.459516,26702.358,56.28286933898926,50.32167196273804,50.40602445602417
14,47.492082,58409.019,50.78480339050293,45.636659145355225,45.67225742340088
15,44.536286,68839.811,46.42020297050476,41.97129416465759,42.02609872817993
16,42.468785,93224.896,46.42020297050476,40.93122363090515,41.05157160758972
17,42.040515,93423.738,46.42020297050476,40.51823592185974,40.392839193344116
18,42.040515,-1.0,46.42020297050476,,
