step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,99.958293,9478.778,95.39175271987915,87.45571374893188,87.1146810054779
1,95.552406,9868.284,91.3777527809143,82.4683165550232,84.93994474411011
2,92.031838,14740.093,84.55691456794739,79.10811376571655,78.55956363677979
3,89.910961,17702.168,83.78566360473633,78.90790891647339,78.80874133110046
4,85.460935,18252.268,83.78566360473633,,
5,82.339101,18937.728,78.38837146759033,71.77044820785522,71.49777889251709
6,78.8166,21491.694,73.82496356964111,65.06435680389404,64.97653770446777
7,75.446489,23573.482,73.82496356964111,,
8,72.837867,31205.004,72.85934448242188,62.31429839134216,62.53508734703064
9,70.611247,41139.451,70.69243693351746,61.51645088195801,62.51483988761902
10,67.978052,47560.058,67.91862869262695,61.3871705532074,59.215678215026855
11,65.661293,61607.39,64.30020403862,57.17914366722107,57.78382158279419
12,62.402219,68732.017,61.819963455200195,55.28769516944885,55.14886713027954
13,58.818918,103203.226,57.161537408828735,51.948100328445435,51.12557029724121
