step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,177.713363,5857.726,165.33790516853333,157.64218497276306,157.36584949493408
1,168.74854,6252.213,155.3010082244873,152.0810351371765,151.68052291870117
2,141.132859,10379.606,132.91292691230774,126.06268095970154,126.0999984741211
3,131.348697,10911.358,122.50697088241577,115.52528715133667,115.92689061164856
4,125.902315,11414.581,120.53949069976807,113.93645143508911,112.98667430877686
5,123.498577,11908.158,114.89725470542908,106.29937720298767,109.57305955886841
6,120.147366,13889.013,114.89725470542908,,
7,117.749025,15610.061,110.73092412948608,102.12098002433777,102.28144526481628
8,101.553353,16064.048,97.46846890449524,88.6685082912445,88.78795027732849
9,97.423226,18061.202,94.04501819610596,86.19383788108826,85.96182250976562
10,87.161294,21819.953,81.5927484035492,72.91539001464844,72.22964286804199
11,81.634945,22156.651,79.27395915985107,69.98076581954956,70.62205386161804
12,79.307733,22804.521,77.59251928329468,68.2455723285675,68.2873260974884
13,75.930268,23464.067,73.65394854545593,64.8306074142456,64.60209393501282
14,72.84343,24240.568,73.2100932598114,64.39236283302307,64.6970067024231
15,69.117349,27798.128,67.32501268386841,58.8197181224823,59.794331550598145
16,67.021056,28065.205,66.83814454078674,57.28881764411926,58.41650152206421
17,63.074255,28604.028,63.68178868293762,55.17931771278381,56.89630746841431
18,58.52007,34453.089,60.777270555496216,52.89800763130188,52.58977651596069
19,56.054987,46127.359,60.100653409957886,51.414125204086304,51.00180649757385
20,53.98566,78888.526,57.56303358078003,48.47990155220032,48.27765369415283
21,51.685736,91413.828,54.75828266143799,46.524094343185425,46.424543142318726
22,51.626009,102129.034,54.75828266143799,,
