step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,150.436034,1799.094,153.1500949859619,141.9250626564026,141.4715440273285
1,114.753669,2360.058,115.54895973205566,105.74815535545349,105.3241913318634
2,98.707429,3375.551,102.06652975082397,93.02086973190308,92.94076156616211
3,90.642628,4235.773,97.44095516204834,87.40227675437927,86.28057980537415
4,85.061579,4668.357,87.70943284034729,81.18665266036987,77.77179336547852
5,78.907576,4978.778,80.70317649841309,74.29577803611755,72.21779322624207
6,75.371289,6033.233,78.52596378326416,69.84254717826843,69.70294499397278
7,72.529136,7050.224,78.81968593597412,65.89133834838867,64.86956834793091
8,64.382301,7356.673,71.09451580047607,60.38727283477783,60.18095827102661
9,60.827609,7717.09,69.34879279136658,58.03611636161804,57.80486345291138
10,55.303761,8968.164,65.03577661514282,52.52739715576172,51.68235993385315
11,52.303934,9929.269,62.67793250083923,48.83348107337952,49.01479697227478
12,49.394802,10155.458,58.80005168914795,45.027095556259155,44.44145178794861
13,46.790306,14737.24,55.06213927268982,43.568932056427,43.58324074745178
14,44.614279,17323.466,53.4804425239563,41.238731145858765,41.17696928977966
15,40.106864,26099.929,48.8637900352478,37.659204959869385,37.49139881134033
16,38.441326,98060.059,47.159369707107544,36.1412034034729,35.72891807556152
