step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,174.377171,7866.36,171.7731966972351,167.46288561820984,170.58814072608948
1,168.896872,8486.142,161.62549138069153,157.70478296279907,157.36377096176147
2,160.794451,9685.328,150.00139951705933,150.63784432411194,149.1033229827881
3,157.661186,11523.715,145.40587258338928,145.50161218643188,143.90619707107544
4,155.267434,12081.241,138.92935013771057,140.67866802215576,145.50161218643188
5,153.245066,12633.419,141.1954469680786,140.86683058738708,139.32602643966675
6,150.563632,17703.88,137.64548110961914,137.65167713165283,138.0239531993866
7,148.039943,17893.98,135.4193069934845,138.0239531993866,
8,142.017222,22660.303,129.22970604896545,128.56822848320007,127.43424201011658
9,137.511202,23715.65,129.22970604896545,,
10,133.301754,25375.831,122.11428999900818,122.51031017303467,120.89385676383972
11,130.777569,25879.33,121.62517046928406,122.51031017303467,
12,127.632009,31803.087,122.51031017303467,,
13,125.357897,37552.783,115.31967806816101,113.87602972984314,111.17598414421082
14,119.896183,38013.121,113.4660713672638,111.07704424858093,110.40719723701477
15,117.654088,49889.303,108.55627417564392,106.51636362075806,106.67180562019348
16,114.250374,50917.584,106.72578144073486,108.55627417564392,
17,112.102554,56386.07,101.62805771827698,101.27169370651245,100.50880599021912
18,107.509307,63827.043,101.62805771827698,,
19,103.758353,70689.536,101.62805771827698,,
20,101.148305,82995.534,101.62805771827698,,
21,98.595593,88207.314,101.62805771827698,,
