step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,230.77648,5014.172,227.76878380775452,225.23226857185364,227.31496214866638
1,216.358713,5780.178,227.35504746437073,227.43407011032104,227.76878380775452
2,212.62774,6530.482,224.9201202392578,221.8365879058838,221.56918859481812
3,206.824721,7255.899,221.3092041015625,220.11579990386963,221.6882565021515
4,204.038127,7974.059,216.3890597820282,216.94895601272583,221.6882565021515
5,199.237686,14974.851,221.6882565021515,,
6,196.433061,16408.746,218.77684426307678,221.6882565021515,
7,187.175325,23717.44,205.04644298553467,205.09499955177307,211.2600018978119
8,184.184777,24388.576,208.5203824043274,211.2600018978119,
9,178.134458,33170.874,204.7980146408081,201.5178005695343,203.8748652935028
10,175.715184,39941.459,194.3169002532959,196.70613527297974,196.02869772911072
11,168.56288,41222.479,195.05027890205383,196.70613527297974,
12,166.297805,50505.51,187.54102158546448,187.9834611415863,186.99898409843445
13,163.646384,65959.667,187.9834611415863,,
14,160.377159,71559.398,178.57192420959473,182.16501331329346,178.1113178730011
15,158.370334,75369.482,171.41238927841187,165.41736507415771,168.26235795021057
16,156.178545,80712.946,165.98781895637512,166.2072389125824,166.74921250343323
17,153.468366,86468.502,166.40220594406128,165.64370036125183,165.480975151062
18,151.135181,101854.875,166.40220594406128,,
