step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,164.81594,3668.453,154.56046390533447,151.98853206634521,153.38410067558289
1,137.21208,5726.978,127.18394541740417,125.69621634483337,125.49572849273682
2,111.367246,6235.631,109.43615365028381,102.84796404838562,102.35692167282104
3,101.245168,6836.036,99.57526874542236,96.00372982025146,95.31772089004517
4,97.581517,7612.295,92.92861104011536,87.51684522628784,91.49105787277222
5,94.493983,8353.093,92.74873304367065,90.04212760925293,89.85138630867004
6,88.204761,8949.095,86.70911526679993,84.60956501960754,85.04374980926514
7,80.884038,9289.6,84.43873238563538,77.8967695236206,77.74772882461548
8,78.069189,10072.282,79.94721722602844,76.33261609077454,76.46800708770752
9,74.072504,10769.537,76.49980926513672,70.5674774646759,70.64898896217346
10,68.473081,12740.665,70.79105377197266,66.86095666885376,64.90853643417358
11,65.640681,14875.464,69.32069659233093,63.50732970237732,65.00056552886963
12,60.803628,15549.005,64.97425603866577,58.82754826545715,60.030062437057495
13,58.304412,19543.563,61.607765913009644,55.942028760910034,55.93579316139221
14,54.888591,20391.953,58.85384011268616,53.4257378578186,53.25281000137329
15,51.686607,25363.713,54.613768100738525,49.572587966918945,49.655126333236694
16,49.183994,28503.391,53.047996282577515,47.46628475189209,47.583744764328
17,46.030828,33009.303,51.6623911857605,45.65543055534363,45.784905433654785
18,43.962727,46643.788,47.91994643211365,43.14509320259094,43.19345688819885
19,41.935305,47557.163,47.027522802352905,40.39189291000366,40.53583288192749
20,39.73342,71399.406,44.66426610946655,39.29339838027954,39.296764612197876
