step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,193.636321,956.186,183.6534469127655,179.0986864566803,182.90450978279114
1,174.563537,1665.018,172.59750533103943,169.9901044368744,167.33317112922668
2,133.081162,2952.478,127.05662298202515,125.62066102027893,123.75370764732361
3,126.048602,5096.313,122.24589133262634,115.92376136779785,116.02420139312744
4,118.946684,6535.05,121.51109981536865,117.53551125526428,112.36399221420288
5,110.367393,9292.332,107.48406386375427,99.90135097503662,107.97881531715393
6,102.821822,9858.978,105.16426873207092,98.06871128082275,99.03709149360657
7,100.540423,10263.194,104.15116572380066,94.43848371505737,100.40068006515503
8,95.215588,12543.642,94.7078492641449,91.12954902648926,92.38301086425781
9,82.273252,13338.634,79.90382838249207,76.37471890449524,76.84622359275818
10,78.871559,15994.852,81.4763035774231,75.7412121295929,75.17936563491821
11,72.234633,19679.246,71.9337887763977,67.03161430358887,66.69850707054138
12,70.05645,20395.839,70.30974507331848,65.62162399291992,65.17033553123474
13,65.709504,24666.573,66.93195176124573,61.80756950378418,62.94081687927246
14,56.29059,25058.019,59.705384969711304,55.12029695510864,55.04368019104004
15,51.583454,30841.297,55.18721961975098,49.94722771644592,49.945812940597534
16,49.037926,34614.319,51.09010314941406,47.52909517288208,47.18019938468933
17,43.975746,53803.917,48.83028769493103,44.102880239486694,44.31650924682617
18,42.108272,99474.729,46.88469386100769,41.837034702301025,41.73891019821167
