step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,178.499102,841.61,175.73225665092468,176.20449709892273,176.8780026435852
1,168.026037,1488.274,157.47479486465454,158.29725670814514,151.0782606601715
2,162.989517,2250.759,154.8596169948578,150.5756847858429,157.52990865707397
3,148.671515,2997.698,149.6322295665741,145.98868680000305,144.71848106384277
4,145.219115,3523.266,145.39570212364197,138.32738733291626,143.8064465522766
5,128.499842,5892.971,134.40105485916138,130.77623629570007,127.00639843940735
6,118.87018,7027.919,116.54371857643127,111.80843091011047,113.36973118782043
7,114.765288,8578.399,119.36375451087952,115.01557230949402,111.87310576438904
8,107.991249,12745.648,111.64198040962219,108.89914584159851,104.92023611068726
9,94.539462,14166.523,98.56297731399536,92.50978326797485,91.70194005966187
10,80.525757,17017.525,84.43536758422852,77.16903352737427,77.27903485298157
11,70.465531,17309.999,76.87038898468018,70.13556551933289,69.60848712921143
12,60.215578,18473.633,64.60575985908508,58.38280773162842,58.98647952079773
13,56.807964,20816.817,58.4887912273407,54.72439241409302,54.632962226867676
14,52.567619,27398.857,57.14142155647278,51.17532968521118,51.2980751991272
15,49.005718,31952.78,52.81721782684326,47.429287910461426,47.35105919837952
16,46.712698,42444.502,49.379631757736206,45.49131798744202,46.01991271972656
17,44.301645,55436.561,46.8346061706543,42.46690249443054,42.62003302574158
18,40.956488,68118.529,46.236876249313354,40.63703417778015,40.717177867889404
19,39.837077,104005.667,44.67875003814697,39.13004970550537,39.0625102519989
