step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2
0,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',932.0,600.0,,
1,"CREATE INDEX IDX_movie_info_9 ON MOVIE_INFO (INFO_TYPE_ID,NOTE);,CREATE INDEX IDX_info_type_2 ON INFO_TYPE (ID,INFO);","shared_buffers = '32GB',temp_buffers = 10000,effective_io_concurrency = 10,max_worker_processes = 10,random_page_cost = 100,enable_mergejoin = off",1084.0,600.0,,
2,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',1856.0,600.0,,
3,"CREATE INDEX IDX_movie_info_9 ON MOVIE_INFO (INFO_TYPE_ID,NOTE);,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,CREATE INDEX IDX_info_type_2 ON INFO_TYPE (ID,INFO);","max_parallel_workers = 10,enable_mergejoin = off,enable_hashagg = off,maintenance_work_mem = 1024,enable_nestloop = off,random_page_cost = 1000",2323.0,82.50541019439697,80.55830931663513,81.0416328907013
4,"CREATE INDEX IDX_movie_info_9 ON MOVIE_INFO (INFO_TYPE_ID,NOTE);,CREATE INDEX IDX_title_20 ON TITLE (ID,TITLE,EPISODE_NR);,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,CREATE INDEX IDX_info_type_2 ON INFO_TYPE (ID,INFO);","max_parallel_workers_per_gather = 10,random_page_cost = 0,temp_buffers = 10000,enable_bitmapscan = off,shared_buffers = '4GB',force_parallel_mode = on",2790.0,82.50541019439697,82.50541019439697,
5,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',2790.0,600.0,,
6,"CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,CREATE INDEX IDX_movie_link_0 ON MOVIE_LINK (MOVIE_ID);,CREATE INDEX IDX_movie_link_1 ON MOVIE_LINK (LINK_TYPE_ID);,CREATE INDEX IDX_kind_type_1 ON KIND_TYPE (KIND);","enable_bitmapscan = off,effective_cache_size = 262144,effective_io_concurrency = 0,random_page_cost = 1000,enable_nestloop = off,max_worker_processes = 10",3245.0,82.50541019439697,82.56295919418335,
7,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',3811.0,600.0,,
8,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',4814.0,600.0,,
9,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',5808.0,600.0,,
10,"CREATE INDEX IDX_cast_info_11 ON CAST_INFO (MOVIE_ID,ROLE_ID);,CREATE INDEX IDX_movie_link_1 ON MOVIE_LINK (LINK_TYPE_ID);","seq_page_cost = 10000,enable_hashagg = off,effective_cache_size = 4194304,maintenance_work_mem = 32768,enable_tidscan = off,temp_buffers = 100000",6111.0,82.50541019439697,82.50541019439697,
11,"CREATE INDEX IDX_cast_info_11 ON CAST_INFO (MOVIE_ID,ROLE_ID);,CREATE INDEX IDX_aka_name_1 ON AKA_NAME (NAME);,CREATE INDEX IDX_movie_link_1 ON MOVIE_LINK (LINK_TYPE_ID);","temp_buffers = 100000,max_parallel_workers = 20,shared_buffers = '32GB',work_mem = 32768,random_page_cost = 1000,maintenance_work_mem = 262144",6405.0,74.3184564113617,59.76227855682373,59.71777105331421
12,"CREATE INDEX IDX_cast_info_11 ON CAST_INFO (MOVIE_ID,ROLE_ID);,CREATE INDEX IDX_aka_name_1 ON AKA_NAME (NAME);,CREATE INDEX IDX_movie_link_1 ON MOVIE_LINK (LINK_TYPE_ID);","effective_io_concurrency = 0,enable_parallel_hash = off,shared_buffers = '1GB',max_worker_processes = 10,hash_mem_multiplier = 1000,seq_page_cost = 1000",6508.0,74.3184564113617,74.3184564113617,
13,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',6717.0,600.0,,
14,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',7665.0,600.0,,
15,"CREATE INDEX IDX_movie_keyword_2 ON MOVIE_KEYWORD (MOVIE_ID,KEYWORD_ID);,CREATE INDEX IDX_movie_link_4 ON MOVIE_LINK (MOVIE_ID,LINKED_MOVIE_ID);","hash_mem_multiplier = 1000,max_worker_processes = 0,enable_parallel_hash = off,temp_buffers = 100,work_mem = 32768,random_page_cost = 100000",7827.0,74.3184564113617,74.3184564113617,
16,"CREATE INDEX IDX_movie_keyword_2 ON MOVIE_KEYWORD (MOVIE_ID,KEYWORD_ID);,CREATE INDEX IDX_movie_info_5 ON MOVIE_INFO (MOVIE_ID,INFO_TYPE_ID);,CREATE INDEX IDX_movie_link_4 ON MOVIE_LINK (MOVIE_ID,LINKED_MOVIE_ID);","enable_hashjoin = off,hash_mem_multiplier = 10,shared_buffers = '4GB',enable_material = off,enable_tidscan = off,max_worker_processes = 4",8217.0,74.3184564113617,74.3184564113617,
