step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,173.134207,861.896,159.95820355415344,162.05017018318176,161.96785640716553
1,155.962388,2538.677,155.97774839401245,147.6453959941864,154.13675165176392
2,143.636244,4257.397,134.3767545223236,136.74842357635498,138.38136172294617
3,140.821609,5358.337,138.38136172294617,135.9323375225067,136.56450271606445
4,98.980408,8291.417,93.79674935340881,90.790931224823,95.58072304725647
5,92.098417,9049.82,92.79134178161621,86.05104660987854,87.2795922756195
6,87.777441,9465.148,88.53624200820923,83.54578447341919,83.62572145462036
7,80.261538,10606.64,78.6027626991272,74.21083927154541,75.27215814590454
8,74.619607,11781.05,76.33159184455872,71.94011545181274,71.77998328208923
9,71.174337,12066.896,70.51121783256531,68.48164057731628,68.31050038337708
10,68.848944,12364.432,70.51121783256531,65.99625134468079,65.88644075393677
11,65.86147,15326.886,64.04651689529419,58.797377586364746,58.47101283073425
12,62.758713,20759.326,63.06117868423462,56.69879627227783,56.45278239250183
13,59.621708,23614.26,59.99267864227295,56.50690054893494,56.53010082244873
14,54.933625,23838.462,55.76063513755798,50.73601412773132,50.883747816085815
15,51.971829,38121.441,52.93052864074707,49.13629221916199,49.15636873245239
16,49.262953,46094.646,51.04423999786377,46.68219590187073,46.73544955253601
17,46.822346,60659.774,50.84650540351868,45.2422776222229,45.49306917190552
18,43.846336,72411.508,46.156861782073975,40.3956835269928,40.38863968849182
19,42.963994,98505.233,44.909026861190796,40.18439817428589,41.29758405685425
20,42.963994,-1.0,44.909026861190796,,
