step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,91.395489,4736.621,93.6675636768341,86.48435306549072,86.37417674064636
1,79.339752,5346.645,83.18143963813782,74.67993974685669,74.42299294471741
2,79.324623,6909.301,81.99636602401733,74.07637023925781,73.96350479125977
3,79.139901,7920.394,82.44241237640381,74.04793047904968,73.9277982711792
4,78.437103,8517.698,81.34564113616943,73.23452615737915,73.04351019859314
5,77.308493,15423.873,80.50871801376343,72.31069898605347,72.27050614356995
6,76.183988,24524.463,79.02911376953125,70.55449366569519,70.41714000701904
7,75.541226,27694.152,78.17112803459167,70.68995666503906,70.71908783912659
8,73.278243,28123.183,77.54551434516907,68.80205059051514,68.70495915412903
9,72.964997,65319.272,76.8105399608612,68.79162859916687,68.34872579574585
10,72.622218,72003.448,76.00954604148865,68.64539623260498,68.63158440589905
