step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,104.226365,1659.125,104.41433000564575,98.82802820205688,99.25578832626343
1,98.49266,2646.519,96.64230823516846,92.06474709510803,92.27794241905212
2,94.912759,3108.315,94.12614130973816,88.52214932441711,88.26766681671143
3,92.523514,4469.087,94.12614130973816,88.84031391143799,89.0559253692627
4,90.090032,18284.684,90.36292433738708,84.86486029624939,84.68118023872375
5,88.044817,27431.987,87.1607015132904,82.59364771842957,82.48208093643188
6,82.597903,28268.351,81.14687514305115,76.71246218681335,76.70305633544922
7,78.458251,29060.781,75.09716153144836,71.7748749256134,72.97355055809021
8,76.3683,33165.361,75.14474415779114,71.04711699485779,71.13845682144165
9,74.086882,51536.6,74.49255633354187,69.48248934745789,69.25425004959106
10,74.086882,-1.0,74.49255633354187,,
