step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,184.839046,462.036,600.0,,
1,177.865635,1395.349,600.0,,
2,173.437824,1882.007,600.0,,
3,162.998147,2216.8,247.04834055900574,239.56239652633667,242.79241585731506
4,140.324592,2663.739,207.23106384277344,201.31264734268188,209.65447568893433
5,121.213919,5720.642,158.1021842956543,151.00371932983398,152.27966737747192
6,105.746534,6413.827,135.4741153717041,130.09987020492554,129.91782236099243
7,104.516452,6731.122,135.4741153717041,133.74444222450256,133.44636869430542
8,103.415752,7948.17,135.4741153717041,131.81840062141418,132.0594801902771
9,102.259492,8158.28,114.80534172058105,108.48060965538025,108.52020740509033
10,101.482429,8716.07,114.80534172058105,114.80534172058105,
11,101.100679,9294.125,114.80534172058105,114.80534172058105,
12,101.056007,20771.195,114.80534172058105,114.80534172058105,
13,100.923429,20980.347,114.80534172058105,114.80534172058105,
14,97.885245,21868.655,114.80534172058105,114.80534172058105,
15,97.885245,-1.0,114.80534172058105,,
