step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,101.878504,770.083,102.08560252189636,96.16131138801575,96.20595192909241
1,100.344922,1349.447,100.54160714149475,93.8641312122345,93.74306297302246
2,84.009108,1908.323,84.13704824447632,78.09815669059753,78.4663348197937
3,83.875366,3881.268,86.37434244155884,78.65742468833923,78.65784811973572
4,82.702275,4370.164,83.68239402770996,77.24748396873474,77.15316724777222
5,80.901207,5567.766,81.80117464065552,75.96622824668884,75.77936363220215
6,79.125794,6732.252,80.39623236656189,73.73621201515198,73.60774946212769
7,78.867247,12315.905,80.58857798576355,75.01851034164429,75.26756381988525
8,78.10729,16314.112,79.41540193557739,72.86649107933044,72.71056056022644
9,77.906733,24800.651,78.46630239486694,72.65140676498413,72.47158527374268
10,77.287609,25275.037,78.53896999359131,71.96529412269592,71.88132500648499
11,77.074818,26181.254,78.39487504959106,71.9353609085083,71.91250705718994
12,76.529178,26660.711,77.09170460700989,71.01213216781616,70.87897443771362
13,76.437216,27116.348,78.23708367347717,71.4024305343628,71.4384114742279
14,75.073044,33046.238,77.03154110908508,69.83380484580994,69.76364040374756
15,74.417327,38280.232,76.22524905204773,70.41856241226196,70.46450281143188
