step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2,p990,p991,p992,avg0,avg1,avg2
0,CREATE INDEX IDX_new_order_1 ON NEW_ORDER (NO_D_ID);,"district_fillfactor = 50,item_fillfactor = 10,stock_fillfactor = 70,history_fillfactor = 70,work_mem = 262144,order_line_fillfactor = 50",305.0,4806.283271593161,4361.439693779322,4396.227595505305,77251.0,87195.0,84130.0,8289.0,9135.0,9061.0
1,CREATE INDEX IDX_new_order_1 ON NEW_ORDER (NO_D_ID);,"history_fillfactor = 50,stock_fillfactor = 30,district_fillfactor = 20,hash_mem_multiplier = 1000,enable_parallel_hash = off,customer_fillfactor = 30",890.0,5009.799370049103,4908.480675587459,4994.273348008915,36231.0,38126.0,37665.0,7957.0,8127.0,7986.0
2,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,1150.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
3,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,2114.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
4,"CREATE INDEX IDX_oorder_10 ON OORDER (O_W_ID,O_D_ID,O_ID);,CREATE INDEX IDX_new_order_1 ON NEW_ORDER (NO_D_ID);","warehouse_fillfactor = 50,district_fillfactor = 10,stock_fillfactor = 40,order_line_fillfactor = 60,history_fillfactor = 50,maintenance_work_mem = 2097152",2780.0,5284.358559753191,4801.068235972515,4633.182379361081,71432.0,75055.0,80812.0,7542.0,8292.0,8597.0
5,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,3057.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
6,"CREATE INDEX IDX_oorder_9 ON OORDER (O_ID,O_C_ID);,CREATE INDEX IDX_oorder_10 ON OORDER (O_W_ID,O_D_ID,O_ID);,CREATE INDEX IDX_new_order_1 ON NEW_ORDER (NO_D_ID);","stock_fillfactor = 70,oorder_fillfactor = 60,maintenance_work_mem = 32768,warehouse_fillfactor = 60,shared_buffers = '4GB',new_order_fillfactor = 70",3293.0,4987.7803362903205,4921.815543041356,4917.944324036524,24890.0,24990.0,24474.0,7971.0,8078.0,8087.0
7,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,4104.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
8,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,5060.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
9,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,5968.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
10,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,6891.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
11,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,7816.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
12,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,8926.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
13,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,10013.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
14,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,11093.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
15,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,12045.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
16,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,12999.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
17,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,13987.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
18,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,15099.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
19,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,16348.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
20,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,17319.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
21,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,18304.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
22,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,19587.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
23,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,20543.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
