step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2
0,"CREATE INDEX IDX_customer_21 ON CUSTOMER (C_D_ID,C_LAST,C_ID);","new_order_fillfactor = 10,customer_fillfactor = 50,district_fillfactor = 70,shared_buffers = '8GB',effective_io_concurrency = 1000,hash_mem_multiplier = 10",305.0,4935.650834414963,4455.031384673639,4440.822992192337
1,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,941.0,3778.9388471543107,3433.4373136388326,3424.4112309845727
2,"CREATE INDEX IDX_customer_21 ON CUSTOMER (C_D_ID,C_LAST,C_ID);,CREATE INDEX IDX_customer_22 ON CUSTOMER (C_D_ID,C_LAST,C_FIRST);","warehouse_fillfactor = 30,item_fillfactor = 70,shared_buffers = '8GB',customer_fillfactor = 10,work_mem = 32768,oorder_fillfactor = 40",1898.0,2636.837434119304,5152.969857114797,4880.036063105007
3,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,1898.0,3778.9388471543107,3433.4373136388326,3424.4112309845727
4,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,2828.0,3778.9388471543107,3433.4373136388326,3424.4112309845727
5,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,3864.0,3778.9388471543107,3433.4373136388326,3424.4112309845727
6,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,4877.0,3778.9388471543107,3433.4373136388326,3424.4112309845727
7,"CREATE INDEX IDX_order_line_12 ON ORDER_LINE (OL_W_ID,OL_O_ID,OL_I_ID);","new_order_fillfactor = 30,warehouse_fillfactor = 70,stock_fillfactor = 40,max_parallel_workers_per_gather = 10,history_fillfactor = 10,shared_buffers = '32GB'",5823.0,6631.448654241026,5857.207324568589,5403.790079443262
8,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,5823.0,3778.9388471543107,3433.4373136388326,3424.4112309845727
9,"CREATE INDEX IDX_order_line_12 ON ORDER_LINE (OL_W_ID,OL_O_ID,OL_I_ID);","customer_fillfactor = 90,stock_fillfactor = 10,order_line_fillfactor = 60,enable_parallel_hash = off,temp_buffers = 1000,shared_buffers = '32GB'",7031.0,7472.98365841816,7050.338454396777,6279.943269366135
10,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,7031.0,3778.9388471543107,3433.4373136388326,3424.4112309845727
11,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,8290.0,3778.9388471543107,3433.4373136388326,3424.4112309845727
12,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,9445.0,3778.9388471543107,3433.4373136388326,3424.4112309845727
13,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,10793.0,3778.9388471543107,3433.4373136388326,3424.4112309845727
14,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,11987.0,3778.9388471543107,3433.4373136388326,3424.4112309845727
15,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,13059.0,3778.9388471543107,3433.4373136388326,3424.4112309845727
16,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,14169.0,3778.9388471543107,3433.4373136388326,3424.4112309845727
17,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,15178.0,3778.9388471543107,3433.4373136388326,3424.4112309845727
18,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,16201.0,3778.9388471543107,3433.4373136388326,3424.4112309845727
19,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,17193.0,3778.9388471543107,3433.4373136388326,3424.4112309845727
20,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,18413.0,3778.9388471543107,3433.4373136388326,3424.4112309845727
