step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2
0,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,906.0,3902.4488324336144,3538.365966921953,3422.2890744473098
1,"CREATE INDEX IDX_customer_22 ON CUSTOMER (C_D_ID,C_LAST,C_FIRST);,CREATE INDEX IDX_new_order_6 ON NEW_ORDER (NO_W_ID,NO_D_ID,NO_O_ID);","random_page_cost = 0,order_line_fillfactor = 60,new_order_fillfactor = 60,shared_buffers = '1GB',customer_fillfactor = 80,work_mem = 1024",1690.0,3650.4579766711986,3544.507869057707,3531.6861417224413
2,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,1962.0,3902.4488324336144,3538.365966921953,3422.2890744473098
3,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,3014.0,3902.4488324336144,3538.365966921953,3422.2890744473098
4,"CREATE INDEX IDX_customer_22 ON CUSTOMER (C_D_ID,C_LAST,C_FIRST);,CREATE INDEX IDX_new_order_6 ON NEW_ORDER (NO_W_ID,NO_D_ID,NO_O_ID);,CREATE INDEX IDX_customer_20 ON CUSTOMER (C_W_ID,C_ID,C_FIRST);","order_line_fillfactor = 80,enable_seqscan = off,oorder_fillfactor = 60,stock_fillfactor = 30,district_fillfactor = 30,customer_fillfactor = 10",3447.0,5832.280838675477,5157.4596868964145,4952.154593345339
5,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,4027.0,3902.4488324336144,3538.365966921953,3422.2890744473098
6,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,5298.0,3902.4488324336144,3538.365966921953,3422.2890744473098
7,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,6205.0,3902.4488324336144,3538.365966921953,3422.2890744473098
8,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,7333.0,3902.4488324336144,3538.365966921953,3422.2890744473098
9,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,8375.0,3902.4488324336144,3538.365966921953,3422.2890744473098
10,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,9458.0,3902.4488324336144,3538.365966921953,3422.2890744473098
11,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,10649.0,3902.4488324336144,3538.365966921953,3422.2890744473098
12,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,11805.0,3902.4488324336144,3538.365966921953,3422.2890744473098
13,"CREATE INDEX IDX_order_line_12 ON ORDER_LINE (OL_W_ID,OL_O_ID,OL_I_ID);","stock_fillfactor = 30,item_fillfactor = 60,order_line_fillfactor = 60,effective_io_concurrency = 10,customer_fillfactor = 80,shared_buffers = '32GB'",12693.0,6340.824319934421,5827.22820974293,5605.6291360440555
14,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,13106.0,3902.4488324336144,3538.365966921953,3422.2890744473098
15,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,14084.0,3902.4488324336144,3538.365966921953,3422.2890744473098
16,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,15020.0,3902.4488324336144,3538.365966921953,3422.2890744473098
17,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,16212.0,3902.4488324336144,3538.365966921953,3422.2890744473098
18,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,17128.0,3902.4488324336144,3538.365966921953,3422.2890744473098
19,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,18258.0,3902.4488324336144,3538.365966921953,3422.2890744473098
20,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,19357.0,3902.4488324336144,3538.365966921953,3422.2890744473098
21,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,20529.0,3902.4488324336144,3538.365966921953,3422.2890744473098
22,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,21580.0,3902.4488324336144,3538.365966921953,3422.2890744473098
23,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,22497.0,3902.4488324336144,3538.365966921953,3422.2890744473098
24,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,23531.0,3902.4488324336144,3538.365966921953,3422.2890744473098
25,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,24637.0,3902.4488324336144,3538.365966921953,3422.2890744473098
26,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,25795.0,3902.4488324336144,3538.365966921953,3422.2890744473098
27,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,26948.0,3902.4488324336144,3538.365966921953,3422.2890744473098
28,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,28064.0,3902.4488324336144,3538.365966921953,3422.2890744473098
29,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,29131.0,3902.4488324336144,3538.365966921953,3422.2890744473098
30,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,29131.0,3902.4488324336144,3538.365966921953,3422.2890744473098
31,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,28800.0,3902.4488324336144,3538.365966921953,3422.2890744473098
