step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,3788.336016494096,170.881,3357.917454860995,3018.956637868111,2999.078902529598
1,3845.5265873067315,890.415,3677.3730160064015,3705.330865644732,3289.127903364651
2,5984.196352858204,1530.862,5714.83325460345,5757.059492102613,5829.643993735705
3,6864.315592834905,1963.89,6711.511980465285,6614.171915291405,6480.346674660229
4,6888.698720607365,3405.137,6551.048903708649,6599.284331480842,6405.897118038111
5,10553.276304401581,5159.097,10444.814113780018,10093.25118873565,10074.062355291711
6,10704.788590171636,10569.351,10026.92754913306,9983.3594572955,10086.925911568162
7,13239.526909294218,17701.191,13247.474373413139,12877.545244751793,13068.191852348371
8,13503.636427551959,19120.58,13295.649591982106,13288.10863454209,13142.411803449553
9,13561.522678737732,23206.516,12958.051224725985,12580.958043368943,12199.088396532668
