step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,1931.4889497263782,365.925,1285.8472613404776,1403.8489979559827,1366.9129649980116
1,3874.348804827966,674.988,2556.843835449513,2510.826271713243,2640.5516900736093
2,4022.3968595117294,3371.309,2416.9613617184564,2371.8629026787007,2345.3313887400313
3,4089.6636581055964,5637.408,2424.9881315791777,2524.994870910941,2413.086934967938
4,4580.606006277582,9893.879,2846.239798127817,2834.8596433407724,2720.50507767777
5,6026.5096651206,11678.562,3832.3149016946877,3722.7670590709963,3699.4650115697605
6,10901.906968589572,12618.07,9359.144215288861,9659.808239193844,9944.498108741522
7,11368.176461386422,18149.616,9127.704667559026,8981.297873899619,9786.471505362828
8,11643.916015872652,20544.031,9975.007997041854,10559.16533906032,10371.902953510988
9,13372.727974881234,22044.081,13235.598661405744,13203.805265124227,13349.615985613758
10,14851.046231808434,23289.693,14724.601805962993,14825.560273656884,14793.61675004503
11,14861.142174675144,28757.724,14227.638002535345,14639.851077765656,14396.304750227448
