step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2
0,"CREATE INDEX IDX_LINEITEM_a ON LINEITEM (L_SHIPDATE,L_DISCOUNT,L_QUANTITY);","effective_io_concurrency = 1000,max_parallel_workers_per_gather = 20,random_page_cost = 0,temp_buffers = 10000,max_worker_processes = 10,seq_page_cost = 100",147.0,300.0,,
1,"CREATE INDEX IDX_LINEITEM_a ON LINEITEM (L_SHIPDATE,L_DISCOUNT,L_QUANTITY);,CREATE INDEX IDX_PARTSUPP_c ON PARTSUPP (PS_SUPPKEY);","max_parallel_workers = 0,enable_indexscan = off,enable_seqscan = off,temp_buffers = 100,max_worker_processes = 4,work_mem = 32768",254.0,300.0,,
2,"CREATE INDEX IDX_LINEITEM_a ON LINEITEM (L_SHIPDATE,L_DISCOUNT,L_QUANTITY);,CREATE INDEX IDX_LINEITEM_s ON LINEITEM (L_PARTKEY);,CREATE INDEX IDX_PARTSUPP_c ON PARTSUPP (PS_SUPPKEY);","enable_seqscan = off,max_parallel_workers = 20,enable_bitmapscan = off,seq_page_cost = 1000,maintenance_work_mem = 262144,shared_buffers = '4GB'",740.0,300.0,,
3,"CREATE INDEX IDX_CUSTOMER_k ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL);,CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',936.0,300.0,,
4,"CREATE INDEX IDX_LINEITEM_a ON LINEITEM (L_SHIPDATE,L_DISCOUNT,L_QUANTITY);,CREATE INDEX IDX_LINEITEM_s ON LINEITEM (L_PARTKEY);,CREATE INDEX IDX_PARTSUPP_c ON PARTSUPP (PS_SUPPKEY);","max_worker_processes = 4,seq_page_cost = 10,temp_buffers = 1000,enable_parallel_hash = off,effective_cache_size = 65536,maintenance_work_mem = 2097152",1031.0,276.10934567451477,269.50781989097595,269.7710933685303
5,"CREATE INDEX IDX_LINEITEM_a ON LINEITEM (L_SHIPDATE,L_DISCOUNT,L_QUANTITY);,CREATE INDEX IDX_LINEITEM_s ON LINEITEM (L_PARTKEY);,CREATE INDEX IDX_PARTSUPP_c ON PARTSUPP (PS_SUPPKEY);,CREATE INDEX IDX_SUPPLIER_a ON SUPPLIER (S_NATIONKEY);","work_mem = 32768,max_parallel_workers = 10,temp_buffers = 10000,seq_page_cost = 1000,maintenance_work_mem = 2097152,random_page_cost = 0",1655.0,276.10934567451477,276.10934567451477,
6,"CREATE INDEX IDX_CUSTOMER_k ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL);,CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',1960.0,300.0,,
7,"CREATE INDEX IDX_CUSTOMER_k ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL);,CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',3018.0,300.0,,
8,"CREATE INDEX IDX_CUSTOMER_k ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL);,CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',4005.0,300.0,,
9,"CREATE INDEX IDX_CUSTOMER_k ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL);,CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',5004.0,300.0,,
10,"CREATE INDEX IDX_CUSTOMER_k ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL);,CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',6122.0,300.0,,
11,"CREATE INDEX IDX_CUSTOMER_k ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL);,CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',7087.0,300.0,,
12,"CREATE INDEX IDX_CUSTOMER_k ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL);,CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',8043.0,300.0,,
13,"CREATE INDEX IDX_CUSTOMER_k ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL);,CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',9057.0,300.0,,
14,"CREATE INDEX IDX_CUSTOMER_k ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL);,CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',9970.0,300.0,,
15,"CREATE INDEX IDX_CUSTOMER_k ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL);,CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',10378.0,300.0,,
